# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
IndexesFlusher.totalFlushingTimeUs,1704662035554000000,1704662095607000000,22408471
IndexesFlusher.totalFlushes,1704662035554000000,1704662095607000000,74
IndexesFlusher.totalContentionQuotaSpent,1704662035554000000,1704662095607000000,77
IndexesFlusher.totalFlushesRetried,1704662035554000000,1704662095607000000,3
JVM.maxNativeBytes,1704662095607000000,1704662155581000000,-1
JVM.GC.collections,1704662095607000000,1704662155581000000,15
JVM.usedHeapBytes,1704662095607000000,1704662155581000000,523571024
JVM.threadCount,1704662095607000000,1704662155581000000,128
OS.loadAverage,1704662095607000000,1704662155581000000,-1.0
JVM.usedNativeBytes,1704662095607000000,1704662155581000000,343358520
JVM.maxHeapBytes,1704662095607000000,1704662155581000000,1572864000
JVM.totalBytesAllocated,1704662095607000000,1704662155581000000,2807864560
JVM.totalCpuTimeMs,1704662095607000000,1704662155581000000,127641
JVM.GC.collectionTimesMs,1704662095607000000,1704662155581000000,264
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1704662095607000000,1704662155581000000,8278
FilePageCacheLockFree.totalPagesReadMs,1704662095607000000,1704662155581000000,0
StorageLockContext.competingThreads.max,1704662095607000000,1704662155581000000,0
FilePageCache.pageFastCacheHits,1704662095607000000,1704662155581000000,280901
StorageLockContext.competingThreads.90P,1704662095607000000,1704662155581000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1704662095607000000,1704662155581000000,0
FilePageCache.disposedBuffers,1704662095607000000,1704662155581000000,0
FilePageCacheLockFree.nativeBytesInUse,1704662095607000000,1704662155581000000,65536
MappedFileStorage.totalTimeSpentOnMappingUs,1704662095607000000,1704662155581000000,1200903
StreamlinedBlobStorage.recordsAllocated,1704662095607000000,1704662155581000000,798
FilePageCacheLockFree.totalHeapBytesReclaimed,1704662095607000000,1704662155581000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1704662095607000000,1704662155581000000,0
MappedFileStorage.storages,1704662095607000000,1704662155581000000,16
FilePageCacheLockFree.totalPagesReclaimed,1704662095607000000,1704662155581000000,0
FilePageCache.maxRegisteredFiles,1704662095607000000,1704662155581000000,293
DirectByteBufferAllocator.reclaimed,1704662095607000000,1704662155581000000,0
DirectByteBufferAllocator.misses,1704662095607000000,1704662155581000000,36
FilePageCacheLockFree.heapBytesInUse,1704662095607000000,1704662155581000000,0
